"№","column1","Игрок","Команда","Амплуа","Очки [{""name"":""data""},{""name"":""pen""},{""name"":""mins""},{""name"":""goal"",""reverse"":true},{""name"":""days"",""reverse"":true},{""name"":""average""},{""name"":""game""}]","Игры [{""name"":""game"",""empty"":""first""}]"
"1","","Александар Николов","Болгария","доигровщик","173","7"
"2","","Ферре Реджерс","Бельгия","диагональный","106","5"
"3","","Патрик Индра","Чехия","диагональный","106","7"
"4","","Лукаш Вашина","Чехия","доигровщик","97","7"
"5","","Алессандро Микьелетто","Италия","доигровщик","93","7"
"6","","Али Хаджипур","Иран","диагональный","92","5"
"7","","Вильфредо Леон","Польша","доигровщик","92","7"
"8","","Юри Романо","Италия","диагональный","88","7"
"9","","Маттия Боттоло","Италия","доигровщик","86","7"
"10","","Адис Лагумджия","Турция","диагональный","85","5"
"11","","Михил Ахьи","Нидерланды","диагональный","82","4"
"12","","Йоонас Йокела","Финляндия","доигровщик","79","4"
"13","","Поря Хоссейн","Иран","доигровщик","75","5"
"14","","Дражен Лубурич","Сербия","диагональный","74","4"
"15","","Сэм Деру","Бельгия","доигровщик","74","5"
"16","","Тончек Штерн","Словения","диагональный","71","4"
"17","","Брайан Багунас","Филиппины","доигровщик","70","3"
"18","","Габриэль Гарсиа","США","доигровщик","70","5"
"19","","Камиль Семенюк","Польша","доигровщик","70","7"
"20","","Лука Марттила","Финляндия","диагональный","67","4"
"21","","Шерон Вернон-Эванс","Канада","диагональный","67","4"
"22","","Аспарух Аспарухов","Болгария","доигровщик","67","7"
"23","","Ян Галабов","Чехия","доигровщик","65","7"
"24","","Этан Чэмплин","США","доигровщик","63","5"
"25","","Мартин Атанасов","Болгария","доигровщик","63","7"
"26","","Джордан Эверт","США","доигровщик","62","5"
"27","","Мортеза Шарифи","Иран","доигровщик","62","5"
"28","","Рамазан Мандыраджи","Турция","доигровщик","59","4"
"29","","Лусиано Висентин","Аргентина","доигровщик","58","4"
"30","","Ник Муянович","Словения","диагональный","58","4"
